name,type,test_categories,sample_type,test_details,description_in_english,description_in_urdu
Fungus stain (KOH),Test,Microbiology,Others,,Liquid containing the chemical potassium hydroxide (KOH) is added. The slide is then examined under the microscope. KOH helps dissolve much of the cellular material. This makes it easier to see if there is any fungus.,کیمیکل پوٹاشیم ہائیڈرو آکسائیڈ (KOH) پر مشتمل مائع شامل کیا جاتا ہے۔ اس کے بعد سلائیڈ کو خوردبین کے نیچے جانچا جاتا ہے۔ KOH زیادہ تر سیلولر مواد کو تحلیل کرنے میں مدد کرتا ہے۔ اس سے یہ دیکھنا آسان ہوجاتا ہے کہ آیا کوئی فنگس ہے یا نہیں۔
G6 PD TEST,Test,Chem & Immuno,Plasma (EDTA / Purple Tube),,A G6PD test is a blood draw to check levels of glucose-6-phosphate dehydrogenase. G6PD is an enzyme that helps your red blood cells function correctly. Low G6PD can lead to a condition called hemolytic anemia. ,G6PD ٹیسٹ گلوکوز-6-فاسفیٹ ڈیہائیڈروجنیز کی سطح کو جانچنے کے لیے خون کی قرعہ اندازی ہے۔ G6PD ایک انزائم ہے جو آپ کے خون کے سرخ خلیات کو صحیح طریقے سے کام کرنے میں مدد کرتا ہے۔ کم G6PD ہیمولٹک انیمیا نامی حالت کا باعث بن سکتا ہے۔
Gamma GT,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"A gamma-glutamyl transferase (GGT) test measures the amount of GGT in the blood. GGT is an enzyme found throughout the body, but it is mostly found in the liver. When the liver is damaged, GGT may leak into the bloodstream. High levels of GGT in the blood may be a sign of liver disease or damage to the bile ducts.","گاما-گلوٹامیل ٹرانسفراز (GGT) ٹیسٹ خون میں GGT کی مقدار کی پیمائش کرتا ہے۔ جی جی ٹی ایک انزائم ہے جو پورے جسم میں پایا جاتا ہے، لیکن یہ زیادہ تر جگر میں پایا جاتا ہے۔ جب جگر کو نقصان پہنچتا ہے، تو GGT خون کے دھارے میں داخل ہو سکتا ہے۔ خون میں جی جی ٹی کی زیادہ مقدار جگر کی بیماری یا پت کی نالیوں کو پہنچنے والے نقصان کی علامت ہو سکتی ہے۔"
Gastrin Level,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,A sample of your blood is examined to see whether you have high gastrin levels. While high gastrin levels may suggest tumors in your pancreas or duodenum.,آپ کے خون کے نمونے کا معائنہ کیا جاتا ہے کہ آیا آپ میں گیسٹرن کی سطح زیادہ ہے۔ جب کہ گیسٹرن کی اعلی سطح آپ کے لبلبے یا گرہنی میں ٹیومر کا مشورہ دے سکتی ہے۔
Gauze Piece For C/S (Bacterial Culture & Sensitivity),Test,Microbiology,Others,,This test is useful in identifying the exact micro-organism present in a Gauze piece so that specific treatment can be planned accordingly.,یہ ٹیسٹ گوز کے ٹکڑے میں موجود درست مائکرو آرگنزم کی نشاندہی کرنے میں مفید ہے تاکہ اس کے مطابق مخصوص علاج کی منصوبہ بندی کی جا سکے۔
Globulins,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"This blood test measures the total amount of protein in your blood. The two main types of blood proteins are globulins and albumin. If protein levels are low, it can mean that you have liver or kidney disease.",یہ خون کا ٹیسٹ آپ کے خون میں پروٹین کی کل مقدار کی پیمائش کرتا ہے۔ خون کے پروٹین کی دو اہم اقسام گلوبلین اور البومین ہیں۔ اگر پروٹین کی سطح کم ہے تو اس کا مطلب یہ ہو سکتا ہے کہ آپ کو جگر یا گردے کی بیماری ہے۔
Glucose Challenge Test (GCT),Test,Chem & Immuno,Plasma (Sodium Floride / Gray Tube),,"The glucose challenge test, also called the one-hour glucose tolerance test, measures your body's response to sugar (glucose). The glucose challenge test is done during pregnancy to screen for gestational diabetes — diabetes that develops during pregnancy.","گلوکوز چیلنج ٹیسٹ، جسے ایک گھنٹے کا گلوکوز رواداری ٹیسٹ بھی کہا جاتا ہے، شوگر (گلوکوز) کے لیے آپ کے جسم کے ردعمل کی پیمائش کرتا ہے۔ گلوکوز چیلنج ٹیسٹ حمل کے دوران حمل کی ذیابیطس کی اسکریننگ کے لیے کیا جاتا ہے - ذیابیطس جو حمل کے دوران تیار ہوتی ہے۔"
Glucose Tolerance Test (GTT),Test,Chem & Immuno,Plasma (Sodium Floride / Gray Tube),,"The glucose tolerance test, also known as the oral glucose tolerance test, measures your body's response to sugar (glucose). The glucose tolerance test can be used to screen for type 2 diabetes.","گلوکوز رواداری ٹیسٹ، جسے زبانی گلوکوز رواداری ٹیسٹ بھی کہا جاتا ہے، شوگر (گلوکوز) پر آپ کے جسم کے ردعمل کی پیمائش کرتا ہے۔ گلوکوز رواداری ٹیسٹ ٹائپ 2 ذیابیطس کی اسکریننگ کے لیے استعمال کیا جا سکتا ہے۔"
Gonoria Screening (GRAMs Staining) (Urine),Test,Microbiology,Urine,,This looks for certain types of cells that are characteristic of a gonorrhea infection under a microscope. The test is performed on urethral swabs and is used primarily in men who are experiencing urinary symptoms.,یہ خاص قسم کے خلیات کو تلاش کرتا ہے جو مائکروسکوپ کے نیچے سوزاک کے انفیکشن کی خصوصیت رکھتے ہیں۔ یہ ٹیسٹ پیشاب کی نالیوں پر کیا جاتا ہے اور بنیادی طور پر ان مردوں میں استعمال ہوتا ہے جو پیشاب کی علامات کا سامنا کر رہے ہوتے ہیں۔
Gram Stain (Urine Random/Spot),Test,Microbiology,Urine,,"Gram stains may be used to check for bacteria in certain body fluids, such as blood or urine. If your test result reveals a positive Gram stain, it means that bacteria were present in your sample. ","چنے کے داغ بعض جسمانی رطوبتوں جیسے خون یا پیشاب میں بیکٹیریا کی جانچ کے لیے استعمال کیے جا سکتے ہیں۔ اگر آپ کے ٹیسٹ کے نتیجے میں گرام کا مثبت داغ ظاہر ہوتا ہے، تو اس کا مطلب ہے کہ آپ کے نمونے میں بیکٹیریا موجود تھے۔"
Growth Hormone (HGH),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,A protein made by the pituitary gland that helps control body growth and the use of glucose and fat in the body. Also called somatotropin. High or low GH values will cause Growth problems.,پیٹیوٹری غدود کے ذریعہ تیار کردہ ایک پروٹین جو جسم کی نشوونما اور جسم میں گلوکوز اور چربی کے استعمال کو کنٹرول کرنے میں مدد کرتا ہے۔ اسے سومیٹوٹروپن بھی کہا جاتا ہے۔ اعلی یا کم GH قدریں ترقی کے مسائل کا سبب بنیں گی۔
GTT (2 Sample - 75 Gram Glucose),Test,Chem & Immuno,Plasma (Sodium Floride / Gray Tube),,"The glucose tolerance test, also known as the oral glucose tolerance test, measures your body's response to sugar (glucose). The glucose tolerance test can be used to screen for type 2 diabetes","گلوکوز رواداری ٹیسٹ، جسے زبانی گلوکوز رواداری ٹیسٹ بھی کہا جاتا ہے، شوگر (گلوکوز) پر آپ کے جسم کے ردعمل کی پیمائش کرتا ہے۔ گلوکوز رواداری ٹیسٹ ٹائپ 2 ذیابیطس کی اسکریننگ کے لیے استعمال کیا جا سکتا ہے۔"
Haemoglobin,Test,Hematology,Plasma (EDTA / Purple Tube),,,
Hair for Fungus C/S,Test,Microbiology,Others,,This test is useful in identifying the fungus present in a scalp/hairs so that specific treatment can be planned accordingly.This laboratory test is done to identify fungus in a Culture.,یہ ٹیسٹ کھوپڑی/بالوں میں موجود فنگس کی شناخت کے لیے مفید ہے تاکہ اس کے مطابق مخصوص علاج کی منصوبہ بندی کی جا سکے۔یہ لیبارٹری ٹیسٹ ثقافت میں فنگس کی شناخت کے لیے کیا جاتا ہے۔
Haptoglobin,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,A haptoglobin test is most often used to diagnose hemolytic anemia. Hemolytic anemia is a disorder that happens when your red blood cells are destroyed faster than they can be replaced. This test may also be used to see if another type of anemia or another blood disorder is causing your symptoms,ایک ہیپٹوگلوبن ٹیسٹ اکثر ہیمولٹک انیمیا کی تشخیص کے لیے استعمال کیا جاتا ہے۔ ہیمولوٹک انیمیا ایک ایسا عارضہ ہے جو اس وقت ہوتا ہے جب آپ کے خون کے سرخ خلیات اس سے زیادہ تیزی سے تباہ ہوجاتے ہیں کہ ان کو تبدیل کیا جاسکتا ہے۔ اس ٹیسٹ کا استعمال یہ دیکھنے کے لیے بھی کیا جا سکتا ہے کہ آیا کسی اور قسم کی خون کی کمی یا خون کی خرابی آپ کی علامات کا سبب بن رہی ہے۔
HAV IgG (Total Abs),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"IgG antibodies are detectable in the body for life, providing protection against a future hepatitis A virus infection. The IgG anti-HAV test is used to detect past HAV infections and may occasionally be used to determine if an individual has developed immunity from a previous infection or vaccination.","آئی جی جی اینٹی باڈیز جسم میں زندگی بھر کے لیے قابل شناخت ہیں، جو مستقبل میں ہیپاٹائٹس اے وائرس کے انفیکشن سے تحفظ فراہم کرتی ہیں۔ آئی جی جی اینٹی ایچ اے وی ٹیسٹ کا استعمال ماضی کے HAV انفیکشن کا پتہ لگانے کے لیے کیا جاتا ہے اور کبھی کبھار اس بات کا تعین کرنے کے لیے استعمال کیا جا سکتا ہے کہ آیا کسی فرد میں پچھلے انفیکشن یا ویکسینیشن سے قوت مدافعت پیدا ہوئی ہے۔"
HAV IgM (ELISA),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This assay is intended for use as an aid in the diagnosis of acute or recent infection (usually 6 months or less) with hepatitis A virus (HAV). This is an in vitro diagnostic immunoassay for the qualitative determination of IgM response to HAV. The presence of IgM antibody to HAV is diagnostic of acute HAV infection.,اس پرکھ کا مقصد ہیپاٹائٹس اے وائرس (HAV) کے ساتھ شدید یا حالیہ انفیکشن (عام طور پر 6 ماہ یا اس سے کم) کی تشخیص میں مدد کے طور پر استعمال کرنا ہے۔ یہ HAV کے لیے IgM ردعمل کے معیار کے تعین کے لیے ایک ان وٹرو تشخیصی امیونوسے ہے۔ HAV میں IgM اینٹی باڈی کی موجودگی شدید HAV انفیکشن کی تشخیص ہے۔
HB Electrophoresis,Test,Hematology,Plasma (EDTA / Purple Tube),,"Hemoglobin electrophoresis measures hemoglobin levels and looks for abnormal types of hemoglobin. It's most often used to help diagnose anemia, sickle cell disease, and other hemoglobin disorders.","ہیموگلوبن الیکٹروفورسس ہیموگلوبن کی سطح کی پیمائش کرتا ہے اور ہیموگلوبن کی غیر معمولی اقسام کو تلاش کرتا ہے۔ یہ اکثر انیمیا، سکیل سیل کی بیماری، اور ہیموگلوبن کے دیگر عوارض کی تشخیص میں مدد کے لیے استعمال ہوتا ہے۔"
HB Electrophoresis Fetal,Test,Hematology,Plasma (EDTA / Purple Tube),,Hemoglobin electrophoresis helps diagnose serious conditions like sickle cell anemia. It's also one of several tests that screen newborn babies for sickle cell anemia and other rare but serious illnesses.,ہیموگلوبن الیکٹروفورسس سنگین حالات جیسے سکیل سیل انیمیا کی تشخیص میں مدد کرتا ہے۔ یہ کئی ٹیسٹوں میں سے ایک ہے جو نوزائیدہ بچوں کو سکیل سیل انیمیا اور دیگر نایاب لیکن سنگین بیماریوں کے لیے اسکرین کرتے ہیں۔
HbA1C,Test,Chem & Immuno,Plasma (EDTA / Purple Tube),,"The A1C test—also known as the hemoglobin A1C or HbA1c test—is a simple blood test that measures your average blood sugar levels over the past 3 months. It's one of the commonly used tests to diagnose prediabetes and diabetes, and is also the main test to help you and your health care team manage your diabetes.","A1C ٹیسٹ — جسے ہیموگلوبن A1C یا HbA1c ٹیسٹ کے نام سے بھی جانا جاتا ہے — ایک سادہ خون کا ٹیسٹ ہے جو پچھلے 3 مہینوں کے دوران آپ کے بلڈ شوگر کی اوسط کی پیمائش کرتا ہے۔ یہ پری ذیابیطس اور ذیابیطس کی تشخیص کے لیے عام طور پر استعمال کیے جانے والے ٹیسٹوں میں سے ایک ہے، اور یہ آپ اور آپ کی صحت کی دیکھ بھال کرنے والی ٹیم کو آپ کی ذیابیطس کا انتظام کرنے میں مدد کرنے کے لیے اہم ٹیسٹ بھی ہے۔"
HBeAg ,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This is a viral protein made by the hepatitis B virus and is released from the infected liver cells into the blood. This test detects how much virus is in the blood as a result of very active viral replication.,یہ ایک وائرل پروٹین ہے جسے ہیپاٹائٹس بی وائرس نے بنایا ہے اور جگر کے متاثرہ خلیوں سے خون میں خارج ہوتا ہے۔ یہ ٹیسٹ بہت فعال وائرل نقل کے نتیجے میں خون میں کتنے وائرس کا پتہ لگاتا ہے۔
HBsAg ,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,A protein on the surface of hepatitis B virus; it can be detected in high levels in serum during acute or chronic hepatitis B virus infection. The presence of HBsAg indicates that the person is infectious.,ہیپاٹائٹس بی وائرس کی سطح پر ایک پروٹین؛ شدید یا دائمی ہیپاٹائٹس بی وائرس کے انفیکشن کے دوران سیرم میں اعلی سطح پر اس کا پتہ لگایا جاسکتا ہے۔ HBsAg کی موجودگی اس بات کی نشاندہی کرتی ہے کہ وہ شخص متعدی ہے۔
HBV DNA BY REAL-TIME PCR (Qualitative),Test,Molecular,Plasma (EDTA / Purple Tube),,The HBV DNA test is performed on a blood sample using a Polymerase Chain Reaction (PCR) technique that rapidly generates HBV DNA fragments so they can be measured. , HBV DNA ٹیسٹ پولیمریز چین ری ایکشن (PCR) تکنیک کا استعمال کرتے ہوئے خون کے نمونے پر کیا جاتا ہے جو تیزی سے HBV DNA کے ٹکڑے تیار کرتا ہے تاکہ ان کی پیمائش کی جا سکے۔
HBV DNA BY REAL-TIME PCR (Quantitative),Test,Molecular,Plasma (EDTA / Purple Tube),,"Quantitative detection of hepatitis B virus (HBV) DNA in serum or plasma provides a means of measuring the viral load in the blood of patients before, during, and after antiviral therapy studies","سیرم یا پلازما میں ہیپاٹائٹس بی وائرس (HBV) DNA کی مقداری پتہ لگانے سے اینٹی وائرل تھراپی کے مطالعے سے پہلے، دوران اور بعد میں مریضوں کے خون میں وائرل بوجھ کی پیمائش کا ایک ذریعہ فراہم ہوتا ہے۔"
Hct,Test,Hematology,Plasma (EDTA / Purple Tube),,Hematocrit is a blood test that measures how much of a person's blood is made up of red blood cells. This measurement depends on the number of and size of the red blood cells. , Hematocrit ایک خون کا ٹیسٹ ہے جو اس بات کی پیمائش کرتا ہے کہ کسی شخص کے خون کا کتنا حصہ خون کے سرخ خلیوں سے بنا ہے۔ یہ پیمائش خون کے سرخ خلیوں کی تعداد اور سائز پر منحصر ہے۔
HCV Genotyping,Test,Molecular,Plasma (EDTA / Purple Tube),,The genotype of HCV for diagnosis is mostly determined by sequencing of genomic nucleotide sequence or by kit-based assays which employ complementary probes to report genotype present in a specimen.,تشخیص کے لیے HCV کا جین ٹائپ زیادہ تر جینومک نیوکلیوٹائڈ کی ترتیب کی ترتیب سے یا کٹ پر مبنی اسسیس کے ذریعے طے کیا جاتا ہے جو نمونے میں موجود جین ٹائپ کی اطلاع دینے کے لیے تکمیلی تحقیقات کا استعمال کرتے ہیں۔
HCV RNA BY REAL-TIME PCR (Qualitative),Test,Molecular,Plasma (EDTA / Purple Tube),,The HCV RNA PCR test can show whether the hepatitis C virus (HCV) is present in your bloodstream. A healthcare professional will take a sample of blood and send it to a laboratory for testing. The test can show if the virus is present but not how much virus there is.,HCV RNA PCR ٹیسٹ یہ دکھا سکتا ہے کہ آیا ہیپاٹائٹس سی وائرس (HCV) آپ کے خون میں موجود ہے۔ صحت کی دیکھ بھال کرنے والا پیشہ ور خون کا نمونہ لے گا اور اسے جانچ کے لیے لیبارٹری میں بھیجے گا۔ ٹیسٹ یہ بتا سکتا ہے کہ آیا وائرس موجود ہے لیکن یہ نہیں کہ کتنا وائرس ہے۔
HCV RNA BY REAL-TIME PCR (Quantitative),Test,Molecular,Plasma (EDTA / Purple Tube),,"The HCV RNA PCR test is used to determine whether the hepatitis C virus (HCV) exists in your bloodstream. If the virus is present, the test can also measure the exact amount that's in your blood. The amount of virus in your blood is known as the viral load.","HCV RNA PCR ٹیسٹ کا استعمال اس بات کا تعین کرنے کے لیے کیا جاتا ہے کہ آیا ہیپاٹائٹس سی وائرس (HCV) آپ کے خون میں موجود ہے۔ اگر وائرس موجود ہے، تو ٹیسٹ آپ کے خون میں موجود صحیح مقدار کی بھی پیمائش کر سکتا ہے۔ آپ کے خون میں وائرس کی مقدار کو وائرل لوڈ کہا جاتا ہے۔"
HDL (Cholesterol),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"HDL (high-density lipoprotein) cholesterol, sometimes called “good” cholesterol, absorbs cholesterol in the blood and carries it back to the liver. The liver then flushes it from the body. High levels of HDL cholesterol can lower your risk for heart disease and stroke.","ایچ ڈی ایل (ہائی ڈینسٹی لیپو پروٹین) کولیسٹرول، جسے کبھی کبھی ""اچھا"" کولیسٹرول کہا جاتا ہے، خون میں کولیسٹرول کو جذب کرتا ہے اور اسے جگر میں واپس لے جاتا ہے۔ پھر جگر اسے جسم سے نکال دیتا ہے۔ ایچ ڈی ایل کولیسٹرول کی اعلی سطح آپ کے دل کی بیماری اور فالج کے خطرے کو کم کر سکتی ہے۔"
HDL Cholesterol Ratio,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Working out a person's cholesterol ratio is important because it can help a doctor determine a person's risk of heart disease. ,کسی شخص کے کولیسٹرول کے تناسب پر کام کرنا ضروری ہے کیونکہ اس سے ڈاکٹر کو کسی شخص کے دل کی بیماری کے خطرے کا تعین کرنے میں مدد مل سکتی ہے۔
HDV IgM (ELISA),Test,Microbiology,Serum (Gel / Yellow Vial),,The purpose of the HDV IgG ELISA Test is for clinical lab diagnosis and monitoring the treatment of patients who are suspected of having a hepatitis D virus infection. The HDV IgG ELISA test is an enzyme-linked immunosorbent assay for qualitative identification of IgG antibodies to hepatitis D virus in human serum/plasma.,HDV IgG ELISA ٹیسٹ کا مقصد کلینیکل لیب کی تشخیص اور ان مریضوں کے علاج کی نگرانی کرنا ہے جن کو ہیپاٹائٹس ڈی وائرس کے انفیکشن کا شبہ ہے۔ ایچ ڈی وی آئی جی جی ایلیسا ٹیسٹ انسانی سیرم/پلازما میں ہیپاٹائٹس ڈی وائرس کے آئی جی جی اینٹی باڈیز کی معیاری شناخت کے لیے انزائم سے منسلک امیونوسوربینٹ پرکھ ہے۔
HDV RNA BY PCR (Qualitative),Test,Molecular,Serum (Gel / Yellow Vial),,Hepatitis D virus (HDV) is an incomplete RNA virus that requires the helper function of Hepatitis B virus (HBV) envelope proteins (HBSAg) to replicate. The HDV Real-time RT-PCR assay detects HDV RNA in serum or plasma.,ہیپاٹائٹس ڈی وائرس (HDV) ایک نامکمل RNA وائرس ہے جسے نقل کرنے کے لیے ہیپاٹائٹس بی وائرس (HBV) لفافے پروٹین (HBSAg) کے مددگار فنکشن کی ضرورت ہوتی ہے۔ HDV ریئل ٹائم RT-PCR پرکھ سیرم یا پلازما میں HDV RNA کا پتہ لگاتا ہے۔
HDV RNA BY PCR (Quantitative),Test,Molecular,Serum (Gel / Yellow Vial),,"HDV RNA, quantitative real-time PCR can assist with diagnosis of HDV infection as well as monitoring of treatment.","HDV RNA، مقداری ریئل ٹائم پی سی آر ایچ ڈی وی انفیکشن کی تشخیص کے ساتھ ساتھ علاج کی نگرانی میں مدد کر سکتا ہے۔"
Helicobacter Pylori Antibody IgA,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test measures the levels of Helicobacter pylori (H. pylori) antibodies in your blood. H. pylori are bacteria that can invade your gut. This infection is one of the major causes of peptic ulcer disease.,یہ ٹیسٹ آپ کے خون میں Helicobacter pylori (H. pylori) اینٹی باڈیز کی سطح کی پیمائش کرتا ہے۔ H. pylori بیکٹیریا ہیں جو آپ کے آنتوں پر حملہ کر سکتے ہیں۔ یہ انفیکشن پیپٹک السر کی بیماری کی ایک بڑی وجہ ہے۔
Helicobacter Pylori Antibody IgG,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test measures the levels of Helicobacter pylori (H. pylori) antibodies in your blood. H. pylori are bacteria that can invade your gut. This infection is one of the major causes of peptic ulcer disease.,یہ ٹیسٹ آپ کے خون میں Helicobacter pylori (H. pylori) اینٹی باڈیز کی سطح کی پیمائش کرتا ہے۔ H. pylori بیکٹیریا ہیں جو آپ کے آنتوں پر حملہ کر سکتے ہیں۔ یہ انفیکشن پیپٹک السر کی بیماری کی ایک بڑی وجہ ہے۔
Helicobacter Pylori Antibody IgM,Test,Microbiology,Serum (Gel / Yellow Vial),,This test measures the levels of Helicobacter pylori (H. pylori) antibodies in your blood. H. pylori are bacteria that can invade your gut. This infection is one of the major causes of peptic ulcer disease.,یہ ٹیسٹ آپ کے خون میں Helicobacter pylori (H. pylori) اینٹی باڈیز کی سطح کی پیمائش کرتا ہے۔ H. pylori بیکٹیریا ہیں جو آپ کے آنتوں پر حملہ کر سکتے ہیں۔ یہ انفیکشن پیپٹک السر کی بیماری کی ایک بڑی وجہ ہے۔
Helicobacter Pylori Antigen (stool),Test,Microbiology,STOOL,,The test looks for proteins (antigens) associated with H. pylori infection in the stool. Stool PCR test. A lab test called a stool polymerase chain reaction (PCR) test can detect H. pylori infection in stool. The test can also identify mutations that may be resistant to antibiotics used to treat H. pylori,ٹیسٹ پاخانہ میں H. pylori انفیکشن سے وابستہ پروٹین (اینٹیجنز) کو تلاش کرتا ہے۔ اسٹول پی سی آر ٹیسٹ۔ ایک لیبارٹری ٹیسٹ جسے اسٹول پولیمریز چین ری ایکشن (PCR) ٹیسٹ کہا جاتا ہے پاخانہ میں H. pylori انفیکشن کا پتہ لگا سکتا ہے۔ ٹیسٹ ایسے تغیرات کی بھی نشاندہی کر سکتا ہے جو ایچ پائلوری کے علاج کے لیے استعمال ہونے والی اینٹی بائیوٹکس کے خلاف مزاحم ہو سکتے ہیں۔
Hemagglutination Test For Hydatid cyst,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Hemagglutination is a serological assay to identify a suspected virus and detect corresponding antibodies. The assay uses red blood cells as a source of antigens. This is used for the detection of Echinococcus or Hyatid cyst,Hemagglutination مشتبہ وائرس کی شناخت اور متعلقہ اینٹی باڈیز کا پتہ لگانے کے لیے ایک سیرولوجیکل پرکھ ہے۔ پرکھ خون کے سرخ خلیوں کو اینٹیجنز کے ذریعہ کے طور پر استعمال کرتی ہے۔ یہ Echinococcus یا Hyatid cyst کے پتہ لگانے کے لیے استعمال ہوتا ہے۔
Hemoglobin,Test,Hematology,Plasma (EDTA / Purple Tube),,A hemoglobin test measures the amount of hemoglobin in your blood. Hemoglobin is a protein in your red blood cells that carries oxygen to your body's organs and tissues,ایک ہیموگلوبن ٹیسٹ آپ کے خون میں ہیموگلوبن کی مقدار کی پیمائش کرتا ہے۔ ہیموگلوبن آپ کے خون کے سرخ خلیوں میں ایک پروٹین ہے جو آپ کے جسم کے اعضاء اور بافتوں تک آکسیجن لے جاتا ہے۔
Hemoglobin (Spot/Random),Test,Microbiology,Urine,,Hemoglobin (HEE-muh-glow-bin) is a protein inside red blood cells that carries oxygen. A hemoglobin blood test helps doctors check the level of red blood cells. Red blood cells deliver oxygen to the different parts of the body.,ہیموگلوبن (HEE-muh-glow-bin) خون کے سرخ خلیوں کے اندر ایک پروٹین ہے جو آکسیجن لے جاتا ہے۔ ہیموگلوبن کا خون کا ٹیسٹ ڈاکٹروں کو خون کے سرخ خلیوں کی سطح کی جانچ کرنے میں مدد کرتا ہے۔ خون کے سرخ خلیے جسم کے مختلف حصوں میں آکسیجن پہنچاتے ہیں۔
Hemoglobin (Urine (Random/Spot)),Test,Microbiology,Urine,,"If the level of hemoglobin in the blood rises too high, then hemoglobin begins to appear in the urine. This is called hemoglobinuria. This test may be used to help diagnose causes of hemoglobinuria.",اگر خون میں ہیموگلوبن کی سطح بہت زیادہ بڑھ جائے تو پیشاب میں ہیموگلوبن ظاہر ہونا شروع ہو جاتا ہے۔ اسے ہیموگلوبینوریا کہتے ہیں۔ یہ ٹیسٹ ہیموگلوبینوریا کی وجوہات کی تشخیص میں مدد کے لیے استعمال کیا جا سکتا ہے۔
HER-2 by FISH ,Test,Molecular,Others,,A laboratory test that measures the amount of HER2 protein on cancer cell or how many copies of the HER2 gene are in the DNA of cancer cells.,ایک لیبارٹری ٹیسٹ جو کینسر کے خلیات پر HER2 پروٹین کی مقدار یا HER2 جین کی کتنی کاپیاں کینسر کے خلیوں کے DNA میں موجود ہیں۔
Herpes (HSV 1&2) PCR Qualitative,Test,Molecular,Plasma (EDTA / Purple Tube),,HSV PCR is a single test that both detects the presence of HSV DNA and determines which type is present in the positive samples.,HSV PCR ایک واحد ٹیسٹ ہے جو دونوں HSV DNA کی موجودگی کا پتہ لگاتا ہے اور اس بات کا تعین کرتا ہے کہ مثبت نمونوں میں کون سی قسم موجود ہے۔
Herpes IgG (HSV),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,The Herpes Blood Test looks for the herpes IgG antibodies in the blood. If you have been exposed to the herpes virus then this test will be able to confirm whether or not you have herpes.,ہرپس بلڈ ٹیسٹ خون میں ہرپس آئی جی جی اینٹی باڈیز کو تلاش کرتا ہے۔ اگر آپ کو ہرپس وائرس کا سامنا ہے تو یہ ٹیسٹ اس بات کی تصدیق کر سکے گا کہ آپ کو ہرپس ہے یا نہیں۔
Herpes IgM (HSV),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,A herpes IgM (immunoglobulin M) test is a blood test that can detect early herpes simplex virus (HSV) infection.,ہرپس آئی جی ایم (امیونوگلوبلین ایم) ٹیسٹ ایک خون کا ٹیسٹ ہے جو ہرپس سمپلیکس وائرس (HSV) کے ابتدائی انفیکشن کا پتہ لگا سکتا ہے۔
HEV RNA BY PCR (Quantitative),Test,Molecular,Plasma (EDTA / Purple Tube),,"PCR (polymerase chain reaction) tests are a fast, highly accurate way to diagnose certain infectious diseases and genetic changes. The tests work by finding the DNA or RNA of a pathogen (disease-causing organism) or abnormal cells in a sample.","پی سی آر (پولیمریز چین ری ایکشن) ٹیسٹ بعض متعدی بیماریوں اور جینیاتی تبدیلیوں کی تشخیص کا ایک تیز، انتہائی درست طریقہ ہے۔ ٹیسٹ نمونے میں پیتھوجین (بیماری پیدا کرنے والے جاندار) یا غیر معمولی خلیات کے ڈی این اے یا آر این اے کو تلاش کرکے کام کرتے ہیں۔"
"Histopathology grossing, processing & staining (per slide, H&E) NO REPORT",Test,Histopathology,Others,,"Histopathology means using a microscope to look at human tissue to see if it has signs of diseases, damage, or other abnormalities.Pathologists process and cut tissue into very thin layers, called sections. Then, they stain and examine it with a microscope. Using a microscope, they can observe and document the tissue's details.","ہسٹوپیتھولوجی کا مطلب یہ ہے کہ انسانی بافتوں کو دیکھنے کے لیے ایک خوردبین کا استعمال کرتے ہوئے یہ معلوم کیا جائے کہ آیا اس میں بیماریوں، نقصان، یا دیگر اسامانیتاوں کے آثار ہیں۔ پیتھالوجسٹ ٹشو پر کارروائی کرتے ہیں اور بہت پتلی تہوں میں کاٹتے ہیں، جنہیں سیکشن کہتے ہیں۔ پھر، وہ داغ لگاتے ہیں اور اسے خوردبین سے جانچتے ہیں۔ ایک خوردبین کا استعمال کرتے ہوئے، وہ ٹشو کی تفصیلات کا مشاہدہ اور دستاویز کرسکتے ہیں."
Histopathology Review Case (Blocks) (1 to 5 blocks),Test,Histopathology,Others,,Histopathology is a medical practice in which doctors view tissues under a microscope to identify potential changes. A histopathologist can view potentially cancerous or atypical tissues and aid other medical specialists in making diagnoses or assessing the effectiveness of treatments.,ہسٹوپیتھولوجی ایک طبی مشق ہے جس میں ڈاکٹر ممکنہ تبدیلیوں کی نشاندہی کرنے کے لیے ایک خوردبین کے نیچے ٹشوز کو دیکھتے ہیں۔ ایک ہسٹوپیتھولوجسٹ ممکنہ طور پر کینسر یا غیر معمولی ٹشوز کو دیکھ سکتا ہے اور دوسرے طبی ماہرین کی تشخیص کرنے یا علاج کی تاثیر کا اندازہ لگانے میں مدد کر سکتا ہے۔
